Source,Target,Capacity,Budget
S1,N102,39,95
S1,N103,50,68
S1,N104,42,49
S1,N105,43,52
S1,N106,26,67
S1,N107,13,75
S1,N108,43,97
S1,N109,35,32
S1,N110,15,69
S1,N111,49,23
S1,N112,47,28
S1,N113,44,35
S1,N114,12,32
S1,N115,6,87
S1,N116,49,75
S1,N117,13,67
S1,N118,12,17
S1,N119,15,59
S1,N120,17,37
S1,N121,27,85
S1,N122,21,81
S1,N123,7,50
S1,N124,32,22
S1,N125,10,51
S1,N126,38,87
S1,N127,41,76
S1,N128,43,21
S1,N129,7,42
S1,N130,45,82
S1,N131,47,14
S1,N132,41,39
S1,N133,12,33
S1,N134,32,50
S1,N135,37,39
S1,N136,8,27
S1,N137,47,20
S1,N138,26,18
S1,N139,47,49
S1,N140,41,13
S1,N141,22,17
S1,N142,17,19
S1,N143,17,92
S1,N144,32,29
S1,N145,47,17
S1,N146,15,100
S1,N147,17,63
S1,N148,14,47
S1,N149,44,90
S1,N150,27,30
S1,N151,15,82
S1,N152,25,41
S1,N153,13,24
S1,N154,21,80
S1,N155,18,15
S1,N156,45,94
S1,N157,16,73
S1,N158,18,13
S1,N159,22,53
S1,N160,17,99
S1,N161,39,70
S1,N162,16,59
S1,N163,26,56
S1,N164,38,38
S1,N165,36,83
S1,N166,15,99
S1,N167,49,25
S1,N168,37,44
S1,N169,17,49
S1,N170,39,88
S1,N171,27,44
S1,N172,20,53
S1,N173,7,77
S1,N174,40,37
S1,N175,10,81
S1,N176,32,84
S1,N177,43,79
S1,N178,46,53
S1,N179,39,10
S1,N180,6,46
S1,N181,20,73
S1,N182,21,21
S1,N183,16,55
S1,N184,25,85
S1,N185,6,38
S1,N186,22,10
S1,N187,37,45
N358,N51,24,37
N172,N250,6,44
N218,N207,46,68
N164,N28,25,99
N247,N222,39,75
N197,N136,38,70
N145,N382,44,77
N233,N45,27,91
N192,N183,19,77
N343,N323,6,38
N45,N81,41,87
N272,N129,27,29
N478,N486,33,46
N151,N408,50,77
N17,N377,33,18
N444,N204,50,21
N297,N327,33,48
N148,N256,31,65
N171,N367,40,43
N309,N41,48,41
N66,N409,43,71
N397,N314,16,44
N276,N257,48,36
N8,N22,24,93
N281,N470,43,39
N273,N397,42,97
N62,N35,45,73
N461,N119,34,92
N339,N281,9,62
N76,N415,47,84
N86,N87,47,64
N411,N328,30,94
N271,N283,39,75
N178,N31,20,44
N258,N405,30,84
N102,N116,34,17
N324,N177,31,60
N121,N232,25,88
N302,N103,43,56
N292,N363,45,62
N153,N179,8,18
N93,N55,20,75
N148,N26,41,73
N420,N119,48,97
N223,N427,27,36
N450,N350,18,100
N223,N442,46,17
N283,N93,45,12
N457,N427,46,18
N367,N81,16,34
N317,N217,12,28
N219,N126,29,26
N405,N152,5,83
N374,N357,47,99
N228,N182,28,79
N265,N224,41,43
N198,N309,28,17
N11,N236,46,48
N13,N478,49,46
N318,N371,19,83
N482,N392,39,43
N331,N136,30,61
N398,N258,5,47
N388,N416,42,18
N125,N311,30,68
N102,N261,42,83
N311,N2,13,89
N422,N93,6,33
N450,N189,43,30
N423,N395,39,87
N292,N108,43,22
N448,N439,16,19
N47,N190,41,73
N207,N180,11,97
N43,N112,10,77
N497,N390,27,48
N484,N263,36,56
N328,N266,11,86
N225,N121,36,55
N120,N389,14,29
N101,N242,45,56
N130,N477,37,53
N25,N300,44,35
N302,N446,30,58
N140,N29,25,51
N214,N490,44,53
N314,N193,45,77
N290,N170,17,81
N283,N455,11,57
N265,N221,21,20
N437,N352,41,79
N173,N87,20,11
N430,N462,13,54
N254,N371,39,21
N55,N26,23,16
N321,N229,19,85
N289,N282,24,62
N26,N341,12,34
N265,N95,48,99
N290,N200,45,50
N57,N350,43,30
N337,N111,27,34
N83,N8,7,67
N312,N60,29,91
N374,N167,24,82
N460,N468,25,87
N283,N87,31,98
N483,N314,27,96
N291,N400,29,25
N5,N480,6,94
N234,N281,34,82
N443,N308,21,91
N375,N82,49,79
N228,N195,28,26
N83,N255,27,22
N255,N404,49,95
N403,N190,18,62
N120,N350,34,62
N246,N393,42,67
N376,N408,21,93
N116,N311,36,56
N235,N480,28,92
N299,N370,39,89
N126,N462,24,71
N184,N156,16,20
N311,N89,8,94
N338,N94,7,81
N283,N400,16,16
N477,N230,5,35
N267,N388,41,78
N240,N250,18,37
N70,N252,25,14
N163,N399,24,57
N383,N440,20,29
N220,N180,43,70
N100,N14,10,19
N124,N205,26,53
N314,N439,29,25
N121,N268,49,44
N407,N152,20,25
N347,N22,22,94
N215,N342,44,32
N418,N381,18,39
N443,N346,41,87
N82,N245,8,100
N352,N287,42,51
N470,N443,44,74
N4,N113,25,20
N60,N478,46,88
N219,N475,29,31
N293,N37,48,63
N172,N431,24,57
N292,N447,10,71
N204,N291,28,38
N320,N416,11,59
N229,N381,13,77
N359,N484,37,97
N389,N270,9,65
N125,N324,44,97
N300,N316,22,69
N146,N157,34,88
N374,N377,48,60
N225,N461,26,85
N208,N20,20,86
N101,N179,46,52
N445,N486,18,73
N355,N436,16,26
N348,N53,17,37
N423,N394,23,32
N332,N173,12,88
N302,N95,9,28
N201,N474,27,98
N140,N185,48,93
N187,N495,18,31
N6,N2,43,31
N174,N368,29,18
N42,N287,21,25
N447,N142,12,24
N450,N169,15,25
N151,N239,31,84
N253,N493,25,99
N23,N241,38,59
N451,N179,37,91
N299,N362,46,61
N126,N297,32,100
N224,N295,25,91
N269,N128,50,34
N490,N15,36,45
N330,N340,25,38
N199,N467,25,90
N239,N219,31,83
N437,N32,16,66
N80,N21,7,44
N314,N58,12,22
N286,N277,36,41
N255,N93,7,27
N335,N140,45,54
N179,N494,50,81
N41,N192,28,56
N416,N44,19,69
N156,N14,9,33
N333,N92,50,74
N107,N444,43,99
N273,N268,7,29
N178,N268,10,22
N10,N144,35,85
N137,N74,27,33
N217,N313,33,64
N445,N14,37,70
N114,N81,7,30
N158,N65,26,94
N378,N418,30,83
N43,N459,43,10
N143,N255,41,91
N131,N442,32,17
N72,N61,19,81
N23,N150,7,87
N393,N434,26,11
N59,N38,12,97
N27,N179,37,68
N192,N77,12,87
N87,N178,48,44
N410,N479,17,24
N186,N235,43,28
N36,N437,13,21
N171,N51,27,20
N386,N139,22,65
N96,N212,38,11
N262,N221,7,23
N136,N206,49,18
N411,N221,48,89
N259,N42,27,70
N460,N389,43,79
N480,N243,47,55
N496,N118,13,83
N382,N422,25,76
N254,N358,21,74
N325,N27,12,85
N28,N125,37,88
N83,N196,21,72
N215,N405,36,81
N308,N150,23,27
N184,N100,20,74
N94,N117,35,95
N133,N165,41,78
N353,N116,25,50
N190,N387,34,63
N148,N246,10,72
N305,N455,9,28
N207,N125,35,62
N334,N134,35,21
N49,N430,47,66
N177,N268,31,70
N3,N51,48,97
N145,N478,35,47
N76,N264,50,14
N42,N414,11,89
N387,N99,27,94
N452,N383,41,25
N395,N419,9,73
N233,N381,46,29
N211,N300,50,26
N424,N59,45,11
N228,N474,23,68
N240,N443,45,16
N244,N399,23,28
N64,N215,45,19
N114,N365,43,96
N395,N468,50,46
N305,N61,46,88
N283,N122,20,11
N102,N389,48,58
N247,N434,44,51
N433,N79,6,57
N346,N317,15,60
N262,N167,22,74
N63,N466,40,71
N267,N424,37,13
N459,N430,5,91
N79,N472,39,23
N60,N421,12,24
N124,N460,13,66
N149,N331,5,100
N156,N183,36,72
N185,N462,42,98
N491,N268,19,81
N255,N218,39,76
N239,N55,46,63
N197,N446,28,35
N309,N481,34,26
N373,N318,25,78
N101,N397,30,27
N154,N18,19,57
N47,N70,49,24
N340,N11,23,64
N14,N110,13,47
N64,N130,29,46
N238,N342,35,77
N259,N170,35,69
N280,N204,13,10
N467,N371,17,91
N176,N351,47,39
N405,N158,45,49
N482,N8,27,98
N115,N74,26,96
N189,N397,48,28
N71,N240,38,87
N63,N12,7,18
N427,N10,33,10
N373,N51,45,62
N351,N87,48,43
N468,N383,30,28
N459,N152,42,45
N55,N191,34,18
N166,N218,17,38
N268,N271,42,87
N130,N224,21,49
N28,N362,9,37
N404,N386,18,32
N181,N243,22,49
N188,N392,30,34
N97,N93,34,65
N27,N312,42,61
N46,N199,17,19
N12,N176,21,48
N127,N16,29,41
N151,N13,22,94
N234,N405,44,74
N161,N120,42,86
N14,N5,18,44
N298,N176,18,23
N108,N284,34,65
N118,N121,41,66
N473,N396,44,20
N261,N477,26,29
N453,N300,40,21
N58,N34,40,93
N53,N202,22,39
N486,N394,26,52
N70,N254,30,86
N208,N481,38,72
N442,N154,46,40
N69,N41,15,99
N166,N382,25,13
N189,N86,43,76
N429,N114,19,61
N164,N1,27,50
N355,N458,34,94
N25,N95,5,42
N451,N138,50,44
N224,N246,50,99
N432,N387,9,29
N282,N124,10,57
N468,N75,13,15
N185,N438,40,62
N278,N383,31,78
N314,N10,13,36
N162,N258,37,63
N198,N60,31,100
N111,N460,42,67
N411,N171,44,34
N90,N193,34,95
N262,N308,25,49
N108,N71,39,91
N57,N179,9,44
N69,N430,21,58
N57,N116,17,57
N427,N1,26,87
N221,N355,41,65
N136,N11,45,79
N484,N341,31,80
N422,N436,46,89
N201,N71,48,93
N95,N316,13,43
N76,N245,17,94
N163,T1,21,38
N193,T1,13,66
N337,T1,40,24
N218,T1,5,81
N242,T1,37,51
N19,T1,50,15
N340,T1,41,97
N85,T1,23,71
N455,T1,29,27
N26,T1,17,78
N5,T1,14,29
N10,T1,8,48
N153,T1,45,92
N378,T1,8,23
N434,T1,29,39
N254,T1,25,51
N253,T1,41,17
N466,T1,37,83
N265,T1,45,36
N339,T1,39,61
N12,T1,26,81
N131,T1,45,69
N266,T1,8,96
N70,T1,47,23
N57,T1,33,33
N416,T1,19,53
N115,T1,34,10
N331,T1,46,60
N192,T1,41,67
N229,T1,8,41
N82,T1,41,29
N90,T1,13,27
N431,T1,5,42
N65,T1,34,76
N404,T1,5,65
N96,T1,14,69
N52,T1,21,71
N472,T1,6,69
N378,T1,10,18
N327,T1,27,66
N200,T1,28,51
N270,T1,14,41
N150,T1,37,78
N77,T1,26,30
N168,T1,44,44
N63,T1,40,81
N389,T1,28,32
N98,T1,28,56
N204,T1,9,69
N107,T1,11,41
N23,T1,5,84
N33,T1,11,85
N477,T1,40,56
N205,T1,43,98
N392,T1,18,59
N31,T1,15,52
N362,T1,17,58
N7,T1,27,44
N272,T1,24,48
N196,T1,48,18
N56,T1,26,70
N122,T1,16,27
N55,T1,50,13
N266,T1,13,53
N204,T1,43,64
N122,T1,25,43
N424,T1,5,88
N38,T1,34,23
N444,T1,14,100
N103,T1,20,35
N374,T1,30,58
N146,T1,11,92
N375,T1,48,17
N103,T1,34,34
N333,T1,24,46
N156,T1,49,70
N146,T1,15,54
N95,T1,32,80
N494,T1,8,82
N65,T1,20,10
N497,T1,11,52
N261,T1,28,31
N99,T1,45,87
N240,T1,20,13
N440,T1,28,49
N56,T1,13,87
N106,T1,33,99
N92,T1,27,77
N64,T1,22,18
N143,T1,49,35
N232,T1,37,34
N200,T1,7,26
N475,T1,29,19
N142,T1,28,100
N478,T1,12,94
N459,T1,38,81
N289,T1,13,31
N407,T1,41,66
N101,T1,31,39
N264,T1,13,68
N273,T1,29,50
N112,T1,5,21
N74,T1,36,53
N269,T1,46,63
N69,T1,45,45
N48,T1,47,10
N457,T1,30,28
N438,T1,7,45
N6,T1,48,80
N442,T1,23,59
N475,T1,9,60
N180,T1,10,70
N187,T1,27,50
N490,T1,19,97
N452,T1,27,84
N482,T1,41,44
N208,T1,30,23
N187,T1,10,41
N270,T1,34,86
N162,T1,35,28
N79,T1,42,47
N111,T1,8,57
N389,T1,37,55
N324,T1,11,89
N298,T1,34,99
N342,T1,31,38
N467,T1,43,35
N289,T1,44,16
N255,T1,24,43
N127,T1,25,66
N102,T1,35,69
N195,T1,26,54
N290,T1,11,53
N399,T1,46,61
N98,T1,42,54
N491,T1,21,82
N84,T1,24,89
N26,T1,42,59
N432,T1,36,90
N124,T1,37,32
N193,T1,22,55
N131,T1,35,24
N121,T1,7,55
N85,T1,22,72
N196,T1,31,78
N414,T1,37,57
N95,T1,19,64
N427,T1,5,39
N148,T1,42,49
N27,T1,36,98
N186,T1,5,38
N33,T1,46,64
N321,T1,46,44
N381,T1,19,48
N346,T1,45,11
N475,T1,34,36
N97,T1,7,100
N490,T1,43,57
N57,T1,6,59
N192,T1,44,94
N271,T1,19,33
N80,T1,8,71
N217,T1,15,95
N411,T1,25,59
N342,T1,48,10
N211,T1,21,94
N421,T1,45,40
N65,T1,26,13
N182,T1,43,93
N343,T1,34,68
N93,T1,25,91
N42,T1,7,99
N266,T1,27,50
N390,T1,14,10
N46,T1,37,53
N177,T1,24,34
N312,T1,24,84
N264,T1,40,11
N63,T1,25,28
N95,T1,38,83
N201,T1,19,52
N269,T1,22,57
N66,T1,50,18
N466,T1,16,84
N295,T1,35,65
N283,T1,50,81
N190,T1,36,85
N266,T1,29,44
